               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03998,            0.014628,                   0,              0.5921,             0.58065,              0.5828,             0.26038,            0.046728,           0.0072765,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.036473,            0.014791,                   0,             0.48259,             0.76344,              0.5577,             0.24788,            0.041203,            0.007767,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.036696,            0.013718,                   0,              0.5282,             0.75269,             0.55321,             0.26581,            0.042374,            0.007427,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.036573,            0.014274,                   0,             0.54767,             0.76344,             0.57727,             0.27563,            0.041475,           0.0076978,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.03711,            0.013761,                   0,             0.66564,             0.72043,             0.71034,             0.32947,            0.048038,           0.0075724,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.037864,            0.014277,                   0,             0.40689,             0.66667,             0.43962,             0.18934,            0.043836,           0.0087318,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.037284,            0.013297,                   0,             0.24244,             0.26882,             0.17222,             0.06839,            0.054048,           0.0099969,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.034957,            0.013521,                   0,             0.31154,             0.41935,              0.2656,             0.10074,            0.052635,           0.0087073,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.037888,             0.01355,                   0,             0.54619,             0.68817,             0.57451,             0.24592,            0.040141,              0.0077,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.033208,            0.013613,                   0,             0.66082,             0.72043,             0.67982,             0.31054,            0.038467,           0.0071073,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.033049,            0.013329,                   0,             0.56693,             0.57716,             0.51573,             0.20929,            0.044242,           0.0072386,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.032727,            0.013393,                   0,             0.64009,             0.67742,             0.59817,             0.21876,            0.043332,           0.0071011,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.032809,             0.01319,                   0,             0.72781,             0.68817,             0.63411,             0.24806,            0.045819,           0.0065274,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.036057,            0.013275,                   0,             0.80751,             0.58646,             0.66458,             0.25457,            0.048134,           0.0067561,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.032564,            0.013091,                   0,             0.72226,             0.78297,             0.72702,             0.26186,            0.052054,           0.0063791,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.035941,            0.012413,                   0,             0.72132,             0.64516,             0.62745,              0.2316,            0.051406,            0.006907,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.034093,            0.013227,                   0,              0.7396,              0.7957,             0.72659,             0.30795,            0.045636,           0.0066578,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.032585,            0.012218,                   0,             0.74356,              0.7171,             0.73409,             0.35138,            0.046354,           0.0062287,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.037122,            0.012563,                   0,             0.74366,             0.73118,             0.72622,             0.35937,            0.042088,           0.0063705,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.033793,            0.012809,                   0,             0.75441,             0.75974,             0.76383,             0.34178,            0.041589,            0.006494,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.033474,            0.012452,                   0,             0.66303,             0.75269,             0.75638,             0.33195,            0.039647,           0.0066655,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.033746,            0.012441,                   0,             0.67467,             0.66898,             0.66468,             0.29798,            0.040739,            0.006861,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.03108,            0.012609,                   0,             0.65424,             0.69178,             0.68499,             0.32766,            0.038614,             0.00682,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.032094,            0.012071,                   0,             0.67016,             0.72095,             0.70412,              0.3487,             0.04316,           0.0060842,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.03241,            0.012621,                   0,             0.66192,             0.75269,             0.69334,             0.33735,            0.042458,           0.0063996,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.032966,            0.012116,                   0,             0.66022,             0.77306,             0.68813,             0.34585,            0.039193,           0.0067236,                   0,            0.007954,            0.007954,            0.007954
