               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033188,               0.014,           0.0032812,             0.84448,             0.86145,             0.89593,             0.59875,            0.032345,           0.0074904,           0.0019254,            0.008845,            0.008845,            0.008845
                  37,            0.035501,            0.013547,           0.0041149,             0.90372,             0.82204,             0.87799,             0.63092,             0.03064,           0.0071647,           0.0018482,            0.008812,            0.008812,            0.008812
                  38,            0.036354,            0.012192,            0.003614,             0.90151,              0.8092,             0.87855,             0.62402,            0.030099,           0.0072411,           0.0017695,            0.008779,            0.008779,            0.008779
                  39,             0.03572,            0.015038,           0.0035948,             0.84965,              0.9174,             0.92351,             0.61197,             0.03017,           0.0072691,           0.0017512,            0.008746,            0.008746,            0.008746
                  40,            0.034853,            0.012656,             0.00336,             0.87982,             0.90673,             0.92845,             0.61024,            0.029297,           0.0073563,           0.0016205,            0.008713,            0.008713,            0.008713
                  41,            0.034555,            0.013422,           0.0041753,             0.85686,              0.8995,             0.91871,             0.62348,            0.027786,           0.0071586,           0.0014802,             0.00868,             0.00868,             0.00868
                  42,            0.033975,             0.01198,           0.0030861,             0.90602,             0.88177,             0.95049,             0.59174,            0.029202,            0.007393,           0.0014926,            0.008647,            0.008647,            0.008647
                  43,             0.03316,            0.013871,            0.003208,             0.88644,             0.88778,             0.93001,             0.63686,            0.028624,            0.007102,           0.0015697,            0.008614,            0.008614,            0.008614
                  44,            0.034073,            0.013251,           0.0038753,             0.91106,             0.91271,             0.95554,             0.63851,            0.028104,           0.0069199,           0.0016451,            0.008581,            0.008581,            0.008581
                  45,            0.032669,            0.012754,            0.003054,             0.89701,              0.8999,             0.95344,             0.64937,            0.028014,           0.0068638,           0.0017455,            0.008548,            0.008548,            0.008548
                  46,            0.032097,            0.013057,           0.0037946,             0.95555,             0.89824,             0.95749,             0.69435,            0.027193,           0.0068259,           0.0018058,            0.008515,            0.008515,            0.008515
                  47,            0.032114,            0.014328,           0.0036938,              0.9566,             0.90177,             0.95535,             0.66266,            0.028409,            0.006832,           0.0017183,            0.008482,            0.008482,            0.008482
                  48,            0.031574,            0.012297,           0.0039278,                0.93,             0.89025,             0.94621,             0.61667,            0.030553,           0.0071065,            0.001549,            0.008449,            0.008449,            0.008449
                  49,            0.034007,            0.015018,           0.0031195,             0.88945,             0.89699,             0.90702,             0.65077,             0.02959,           0.0071492,           0.0014368,            0.008416,            0.008416,            0.008416
                  50,            0.033085,            0.011626,           0.0031061,             0.92001,             0.93075,             0.95867,             0.65776,            0.028226,           0.0071775,           0.0014142,            0.008383,            0.008383,            0.008383
                  51,            0.032843,             0.01238,           0.0034422,             0.95945,              0.8939,             0.96556,             0.64241,            0.027644,           0.0071269,           0.0013406,             0.00835,             0.00835,             0.00835
                  52,             0.03171,            0.013562,           0.0026131,             0.87944,             0.93578,             0.96691,             0.68359,            0.027448,           0.0069599,            0.001349,            0.008317,            0.008317,            0.008317
                  53,            0.031619,            0.012281,           0.0026805,             0.89554,             0.94066,             0.96881,             0.72126,            0.024829,           0.0066779,           0.0014628,            0.008284,            0.008284,            0.008284
                  54,             0.02982,            0.013319,            0.002921,             0.83699,             0.95096,             0.94916,             0.66085,            0.025798,           0.0067066,             0.00159,            0.008251,            0.008251,            0.008251
                  55,            0.030724,            0.013326,           0.0036813,             0.84763,             0.93475,             0.92136,             0.64342,            0.025284,            0.006552,           0.0015952,            0.008218,            0.008218,            0.008218
                  56,            0.029891,            0.012208,           0.0035741,             0.83555,             0.92185,             0.93729,             0.66073,            0.025205,           0.0064429,           0.0015731,            0.008185,            0.008185,            0.008185
                  57,             0.03042,            0.014954,           0.0031922,             0.89909,             0.93634,             0.96547,             0.68839,            0.027244,            0.006528,            0.001418,            0.008152,            0.008152,            0.008152
                  58,            0.030277,            0.012682,           0.0028067,             0.89314,             0.94775,             0.97244,             0.70912,            0.025277,           0.0063831,           0.0013988,            0.008119,            0.008119,            0.008119
                  59,            0.029653,            0.010753,           0.0034597,             0.83519,             0.94492,             0.94738,             0.65758,             0.03037,           0.0066335,           0.0013494,            0.008086,            0.008086,            0.008086
                  60,            0.030989,            0.011756,           0.0030432,             0.91231,             0.93921,             0.96598,             0.69826,            0.026487,           0.0066041,           0.0014208,            0.008053,            0.008053,            0.008053
                  61,            0.030677,            0.014615,           0.0030075,             0.92501,             0.94457,             0.96503,             0.62665,            0.030172,           0.0068815,           0.0014082,             0.00802,             0.00802,             0.00802
                  62,            0.032806,            0.013245,           0.0032112,              0.9289,             0.93684,             0.96162,             0.68237,            0.027157,           0.0067433,           0.0015093,            0.007987,            0.007987,            0.007987
                  63,            0.031705,            0.011481,            0.003041,             0.87023,              0.9582,             0.95565,             0.64929,            0.027694,           0.0067663,             0.00149,            0.007954,            0.007954,            0.007954
                  64,            0.031188,            0.012938,           0.0034364,             0.93052,             0.91569,              0.9575,             0.65672,            0.026041,           0.0065626,           0.0014833,            0.007921,            0.007921,            0.007921
                  65,            0.032817,            0.014419,           0.0028272,               0.898,             0.93298,             0.96134,             0.72927,             0.02415,            0.006635,           0.0014994,            0.007888,            0.007888,            0.007888
                  66,            0.030356,            0.011794,            0.003034,             0.90716,             0.92682,             0.97134,             0.70739,            0.026094,            0.006768,           0.0014465,            0.007855,            0.007855,            0.007855
                  67,            0.028718,            0.012337,           0.0029552,             0.89229,             0.92118,             0.96279,             0.69782,            0.027348,           0.0068111,           0.0013679,            0.007822,            0.007822,            0.007822
                  68,             0.03008,            0.013653,           0.0031034,             0.92633,             0.93217,             0.98105,             0.71182,            0.027512,           0.0068271,           0.0013047,            0.007789,            0.007789,            0.007789
                  69,            0.031922,            0.012056,           0.0026675,             0.90826,             0.92603,             0.97268,             0.65822,            0.025697,           0.0066472,           0.0013223,            0.007756,            0.007756,            0.007756
                  70,              0.0288,             0.01235,           0.0024569,             0.91194,             0.91504,             0.97424,             0.70895,            0.026371,           0.0067139,            0.001278,            0.007723,            0.007723,            0.007723
