               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03666,            0.014541,           0.0034645,              0.7978,             0.88297,             0.87787,             0.56389,            0.033269,           0.0074191,           0.0018088,            0.008845,            0.008845,            0.008845
                  37,             0.03792,            0.014529,            0.003937,              0.8898,             0.88243,             0.92925,             0.58361,            0.029787,           0.0073719,           0.0017034,            0.008812,            0.008812,            0.008812
                  38,            0.035973,            0.013089,           0.0033535,             0.77648,              0.8608,             0.89066,             0.51596,             0.03336,           0.0075617,           0.0015936,            0.008779,            0.008779,            0.008779
                  39,            0.038382,            0.015563,           0.0037546,             0.83499,             0.83479,             0.89716,             0.51651,            0.032731,           0.0076537,           0.0015759,            0.008746,            0.008746,            0.008746
                  40,            0.035998,            0.013716,            0.003317,             0.75164,              0.8512,             0.84768,             0.51288,            0.034809,           0.0076785,           0.0014969,            0.008713,            0.008713,            0.008713
                  41,            0.038848,            0.015446,           0.0044831,              0.7728,             0.88185,             0.86902,              0.5579,            0.032055,           0.0075469,           0.0014716,             0.00868,             0.00868,             0.00868
                  42,             0.03714,            0.013291,            0.003473,             0.76915,             0.85726,             0.86152,             0.56367,            0.031993,           0.0075245,           0.0017011,            0.008647,            0.008647,            0.008647
                  43,            0.035031,            0.015148,           0.0037679,             0.80621,             0.87181,             0.89424,             0.59434,             0.03187,           0.0073037,           0.0017509,            0.008614,            0.008614,            0.008614
                  44,            0.035671,            0.014871,             0.00415,             0.89241,             0.85795,             0.92809,             0.59312,            0.032298,           0.0076404,           0.0017298,            0.008581,            0.008581,            0.008581
                  45,            0.037195,            0.014063,           0.0037084,             0.80679,             0.84838,             0.86833,             0.55618,            0.030702,           0.0076089,           0.0019169,            0.008548,            0.008548,            0.008548
                  46,            0.035488,            0.014566,           0.0041935,             0.89216,             0.85048,              0.9229,              0.5954,            0.029718,           0.0074143,           0.0018373,            0.008515,            0.008515,            0.008515
                  47,            0.036067,            0.015195,           0.0038929,              0.8678,             0.88868,             0.92751,             0.66052,            0.030342,           0.0071588,           0.0016015,            0.008482,            0.008482,            0.008482
                  48,            0.035952,            0.013693,           0.0036793,             0.83921,             0.93321,             0.94004,             0.62894,            0.029915,           0.0070357,           0.0014215,            0.008449,            0.008449,            0.008449
                  49,            0.038046,            0.015642,           0.0034229,             0.88204,             0.90467,             0.92743,             0.66052,            0.029281,           0.0070691,           0.0013592,            0.008416,            0.008416,            0.008416
                  50,            0.035921,            0.012687,           0.0031621,             0.90768,             0.90438,             0.94138,             0.68292,            0.029198,           0.0070329,           0.0013567,            0.008383,            0.008383,            0.008383
                  51,            0.035355,            0.013226,           0.0031077,             0.84699,             0.84178,             0.89193,             0.59628,            0.030823,            0.007093,           0.0013555,             0.00835,             0.00835,             0.00835
                  52,            0.036302,            0.014518,           0.0029613,              0.9481,             0.85277,              0.9392,              0.6534,             0.02864,           0.0068283,            0.001435,            0.008317,            0.008317,            0.008317
                  53,            0.034277,            0.012868,           0.0029547,             0.95567,             0.87352,             0.93489,             0.66164,            0.029681,           0.0070348,           0.0015727,            0.008284,            0.008284,            0.008284
                  54,            0.033459,            0.013154,           0.0032741,             0.85276,             0.88821,             0.91578,             0.63353,            0.028702,           0.0069604,           0.0016551,            0.008251,            0.008251,            0.008251
                  55,            0.034836,            0.014178,           0.0040953,             0.84209,             0.89731,             0.94624,             0.65143,            0.027717,           0.0068674,           0.0016873,            0.008218,            0.008218,            0.008218
                  56,            0.034359,            0.014344,           0.0036516,             0.89198,             0.92891,             0.95658,             0.62272,            0.027272,           0.0066428,           0.0016378,            0.008185,            0.008185,            0.008185
                  57,            0.033629,            0.015111,           0.0035502,             0.84286,             0.92375,             0.91889,             0.60856,            0.029125,           0.0067406,           0.0014291,            0.008152,            0.008152,            0.008152
                  58,             0.03394,            0.014031,           0.0032933,             0.88869,             0.90888,             0.93254,             0.62075,             0.02829,           0.0066323,           0.0014529,            0.008119,            0.008119,            0.008119
                  59,            0.034523,             0.01171,           0.0033327,             0.81308,             0.93971,             0.94679,             0.66385,            0.026942,           0.0065479,           0.0015748,            0.008086,            0.008086,            0.008086
